0156;THE ROYAL BANK OF SCOTLAND PLC, SUCURSAL;ABNAESMMXXX
3524;AHORRO CORPORACION FINANCIERA, S.A., SOC;AHCFESMMXXX
0099;BANKIA BANCA PRIVADA, S.A.U;AHCRESVVXXX
0188;BANCO ALCALA, S.A.;ALCLESMMXXX
0136;ARESBANK, S.A.;AREBESMMXXX
0078;BANCA PUEYO, S.A.;BAPUES22XXX
0065;BARCLAYS BANK, S.A.;BARCESMMXXX
2095;KUTXABANK, S.A.;BASKES2BXXX
0190;BANCO BPI, S.A., SUCURSAL EN ESPAÑA.;BBPIESMMXXX
0168;ING BELGIUM, S.A., SUCURSAL EN ESPAÑA.;BBRUESMXXXX
0182;BANCO BILBAO VIZCAYA ARGENTARIA, S.A.;BBVAESMMXXX
3081;CAJA R. DE CASTILLA-LA MANCHA, S.C.C.;BCOEESMM081
0198;BANCO COOPERATIVO ESPAÑOL, S.A.;BCOEESMMXXX
0131;BANCO ESPIRITO SANTO, S.A., SUCURSAL EN;BESMESMMXXX
0488;BANCO FINANCIERO Y DE AHORRO, S.A.;BFASESMM
0186;BANCO MEDIOLANUM, S.A.;BFIVESBBXXX
0128;BANKINTER, S.A.;BKBKESMMXXX
0138;BANKOA, S.A.;BKOAES22XXX
0061;BANCA MARCH, S.A.;BMARES2MXXX
0219;BANQUE MAROCAINE COMMERCE EXTERIEUR INTE;BMCEESMMXXX
0149;BNP PARIBAS, SUCURSAL EN ESPAÑA.;BNPAESMHXXX
0058;BNP PARIBAS ESPAÑA, S.A.;BNPAESMZXXX
0160;THE BANK OF TOKYO-MITSUBISHI UFJ, LTD, S;BOTKESMXXXX
0152;BARCLAYS BANK PLC, SUCURSAL EN ESPAÑA.;BPLCESMMXXX
0155;BANCO DO BRASIL, S.A., SUCURSAL EN ESPAÑ;BRASESMMXXX
0081;BANCO DE SABADELL, S.A.;BSABESBBXXX
0049;BANCO SANTANDER, S.A.;BSCHESMMXXX
0154;CREDIT AGRICOLE CORPORATE AND INVESTMENT;BSUIESMMXXX
0094;RBC INVESTOR SERVICES ESPAÑA, S.A.;BVALESMMXXX
2080;NCG BANCO, S.A.;CAGLESMMVIG
2038;BANKIA, S.A.;CAHMESMMXXX
2100;CAIXABANK, S.A.;CAIXESBBXXX
3604;CM CAPITAL MARKETS BOLSA, SOCIEDAD DE VA;CAPIESMMXXX
