01;Operación de régimen general.;
02;Operaciones por las que los empresarios satisfacen compensaciones REAGYP.;
03;Operaciones a las que se aplique el régimen especial de bienes usados, objtos de arte, antigüedades y objetos de colección (135-139 LIVA).;
04;Régimen especial oro de inversión.;
05;Régimen especial agencias de viajes.;
06;Régimen especial grupo de entidades en IVA (Nivel Avanzado).;
07;Régimen especial criterio de caja.;
08;Operaciones sujetas al IPSI / IGIC.;
09;Adquisiciones intracomunitarias de bienes y prestaciones de servicios.;
10;Compra de agencias viajes: operaciones de mediación en nombre y por cuenta ajena en los servicios de transporte prestados al destinatario de los servicios de acuerdo con el apartado 3 de la D.A.4ª RD1619/2012.;
11;Facturación de las prestaciones de servicios de agencias de viaje que actúan como mediadoras en nombre y por cuenta ajena (D.A.4ª RD1619/2012).;
12;Operaciones de arrendamiento de local de negocio.;
13;Factura correspondiente a una importación (informada sin asociar a un DUA).;
