A;Asiento resumen de facturas;
B;Asiento resumen de tiques / facturas simplificadas;
C; Factura con varios asientos (varios tipos impositivos);
D;Factura rectificativa;
E;IVA devengado el Impuesto en el período de declaración pendiente de emitir factura;
F;Adquisiciones realizadas por las agencias de viajes directamente en interés del viajero (Régimen especial de agencias de viajes);
G;Régimen especial de grupo de entidades en IVA o IGIC (Incorpora la contraprestación real a coste);
H;Régimen especial de oro de inversión;
I;Inversión del Sujeto pasivo (ISP);
J;Tiques / facturas simplificadas;
K;Rectificación de errores registrales;
L;Adquisiciones a comerciantes minoristas del IGIC;
M;IVA facturado pendiente de devengar (emitida factura);
N;Facturación de las prestaciones de servicios de agencias de viaje que actúan como mediadoras en nombre y por cuenta ajena(disposición adicional 4ª RD 1496/2003);
O;Factura emitida en sustitución de tiques / facturas simplificadas facturadas y declarados;
P;Adquisiciones intracomunitarias de bienes;
Q;Operaciones a las que se aplique el Régimen especial de bienes usados, objetos de arte, antigüedades y objetos de colección;
R;Operación de arrendamiento de local de negocio;
S;Subvenciones, auxilios o ayudas satisfechas o recibidas, tanto por parte de Administraciones públicas como de entidades privadas;
T;Cobros por cuenta de terceros de honorarios profesionales o de derechos derivados de la propiedad intelectual, industrial, de autor u otros por cuenta de sus socios, asociados o colegiados por cuenta de sus socios, asociados o colegiados efectuados por sociedades, asociaciones, colegios profesionales u otras entidades que, entre sus funciones, realicen las de cobro;
U;Operación de seguros;
V;Compras de Agencias viajes: operaciones de prestación de servicios de mediación en nombre y por cuenta ajena relativos a los servicios de transporte de viajeros y de sus equipajes que las agencias de viajes presten al destinatario de dichos servicios de transporte, de acuerdo con lo dispuesto en el apartado 3 de la disposición adicional cuarta del Reglamento por el que se regulan las obligaciones de facturación;
W;Operaciones sujetas al Impuesto sobre la Producción, los Servicios y la Importación en las Ciudades de Ceuta y Melilla;
X;Operaciones por las que los empresarios o profesionales que satisfagan compensaciones agrícolas, ganaderas y/o pesqueras hayan expedido el recibo correspondiente;
Z;Régimen especial del criterio de caja;
1;IVA criterio de caja: Asiento resumen de facturas;
2;IVA criterio de caja: Factura con varios asientos (varios tipos impositivos);
3;IVA criterio de caja: Factura rectificativa;
4;IVA criterio de caja: Adquisiciones realizadas por las agencias de viajes directamente en interés del viajero (Régimen especial de agencias de viajes);
5;IVA criterio de caja: Factura simplificada;
6;IVA criterio de caja: Rectificación de errores registrales;
7;IVA criterio de caja: Facturación de las prestaciones de servicios de agencias de viaje que actúan como mediadoras en nombre y por cuenta ajena (disposición adicional 4ª RD 1496/2003);
8;IVA criterio de caja: Operación de arrendamiento de local de negocio;
